"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"805","PA95428","Wiederfund","Bartmeise","Rietzer See","17.05.2002 10:00:00","Dürr, Tobias","Adult","F:59;FETT:1","männlich",2002-05-17,2002,5,17,15,59,4.4
"806","VD54264","Wiederfund","Bartmeise","Rietzer See","18.05.2004 17:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2004-05-18,2004,5,18,14.5,57,4.3
"807","PA95633","Wiederfund","Bartmeise","Rietzer See","12.07.2003 06:00:00","Dürr, Tobias","Adult","F:60;FETT:2","männlich",2003-07-12,2003,7,12,14.5,60,4.4
"808","VD28862","Wiederfund","Bartmeise","Rietzer See","27.09.2002 18:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2002-09-27,2002,9,27,14.5,44,4.4
"809","VD29015","Wiederfund","Bartmeise","Rietzer See","19.02.2003 16:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2003-02-19,2003,2,19,14.5,43,4.3
"810","VD55105","Wiederfund","Bartmeise","Rietzer See","26.05.2005 18:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-05-26,2005,5,26,16,61,4.5
"811","VC98295","Beringung","Bartmeise","Rietzer See","17.10.2000 11:00:00","Dürr, Tobias","Adult","F:58;FETT:4","weiblich",2000-10-17,2000,10,17,16,58,4.5
"812","VD75670","Beringung","Bartmeise","Rietzer See","23.04.2004 18:00:00","Dürr, Tobias","Adult","F:59;FETT:2;K0R2","weiblich",2004-04-23,2004,4,23,14.5,59,4.4
"813","VC98254","Beringung","Bartmeise","Rietzer See","12.10.2000 09:00:00","Dürr, Tobias","Adult","F:59;FETT:5;RECHTE;HINTERZEHE;GEBOGEN","weiblich",2000-10-12,2000,10,12,14.5,45,4.5
"814","VC98278","Beringung","Bartmeise","Rietzer See","17.10.2000 09:00:00","Dürr, Tobias","Adult","F:59;FETT:4","weiblich",2000-10-17,2000,10,17,16,59,4.5
"815","VD55106","Beringung","Bartmeise","Rietzer See","05.05.2005 12:00:00","Dürr, Tobias","Adult","F:61;FETT:3","männlich",2005-05-05,2005,5,5,16,61,4.5
"816","VC70281","Beringung","Bartmeise","Rietzer See","10.05.2000 10:00:00","Dürr, Tobias","Adult","F:59;FETT:2","männlich",2000-05-10,2000,5,10,15.5,46,4.5
"817","VC98389","Beringung","Bartmeise","Rietzer See","04.05.2001 14:00:00","Dürr, Tobias","Adult","F:59;FETT:2","weiblich",2001-05-04,2001,5,4,16,59,4.5
"818","VC98267","Beringung","Bartmeise","Rietzer See","13.10.2000 09:00:00","Dürr, Tobias","Adult","F:59;FETT:5","männlich",2000-10-13,2000,10,13,17,59,4.5
"819","VC98247","Beringung","Bartmeise","Rietzer See","12.10.2000 09:00:00","Dürr, Tobias","Adult","F:59;FETT:5","weiblich",2000-10-12,2000,10,12,17,59,4.5
"820","VC98291","Beringung","Bartmeise","Rietzer See","17.10.2000 11:00:00","Dürr, Tobias","Adult","F:59;FETT:4","weiblich",2000-10-17,2000,10,17,16,59,4.5
"821","VC98299","Beringung","Bartmeise","Rietzer See","19.10.2000 09:00:00","Dürr, Tobias","Adult","F:59;FETT:2","weiblich",2000-10-19,2000,10,19,15.5,59,4.5
"822","VD55107","Beringung","Bartmeise","Rietzer See","05.05.2005 14:00:00","Dürr, Tobias","Adult","F:64;FETT:2;K3R3;EI;IM;BAUCH","weiblich",2005-05-05,2005,5,5,19,64,4.5
"823","VC98388","Beringung","Bartmeise","Rietzer See","04.05.2001 14:00:00","Dürr, Tobias","Adult","F:59;FETT:2","weiblich",2001-05-04,2001,5,4,14,59,4.5
"824","VC98384","Beringung","Bartmeise","Rietzer See","28.04.2001 10:00:00","Dürr, Tobias","Adult","F:59;FETT:2;EI;IM;BAUCH","weiblich",2001-04-28,2001,4,28,15,44,4.5
"825","VD55190","Beringung","Bartmeise","Rietzer See","25.05.2005 07:00:00","Dürr, Tobias","Adult","F:62;FETT:0","männlich",2005-05-25,2005,5,25,15.5,62,4.5
"826","VC70237","Beringung","Bartmeise","Rietzer See","23.03.2000 10:00:00","Dürr, Tobias","Adult","F:60;FETT:3","weiblich",2000-03-23,2000,3,23,15,60,4.5
"827","VD55191","Beringung","Bartmeise","Rietzer See","25.05.2005 07:00:00","Dürr, Tobias","Adult","F:57;FETT:0;K0R2","weiblich",2005-05-25,2005,5,25,17,57,4.3
"828","VC70236","Beringung","Bartmeise","Rietzer See","23.03.2000 10:00:00","Dürr, Tobias","Adult","F:60;FETT:3","männlich",2000-03-23,2000,3,23,15,60,4.5
"829","VC70288","Beringung","Bartmeise","Rietzer See","15.05.2000 10:00:00","Dürr, Tobias","Adult","F:60;FETT:1","weiblich",2000-05-15,2000,5,15,14,60,4.5
"830","VD55195","Beringung","Bartmeise","Rietzer See","25.05.2005 07:00:00","Dürr, Tobias","Adult","F:60;FETT:0","männlich",2005-05-25,2005,5,25,16,60,4.6
"831","VC98378","Beringung","Bartmeise","Rietzer See","28.04.2001 08:00:00","Dürr, Tobias","Adult","F:60;FETT:2;LEEGEBAUCH","weiblich",2001-04-28,2001,4,28,15,45,4.5
"832","VC98307","Beringung","Bartmeise","Rietzer See","19.10.2000 10:00:00","Dürr, Tobias","Adult","F:60;FETT:5","männlich",2000-10-19,2000,10,19,18.5,60,4.5
"833","VD55196","Beringung","Bartmeise","Rietzer See","25.05.2005 08:00:00","Dürr, Tobias","Adult","F:62;FETT:1","männlich",2005-05-25,2005,5,25,16.5,62,4.7
"834","VD75687","Beringung","Bartmeise","Rietzer See","24.04.2004 07:00:00","Dürr, Tobias","Adult","F:60;FETT:1","männlich",2004-04-24,2004,4,24,16.5,60,4.5
"835","VB44403","Wiederfund","Bartmeise","Rietzer See","14.07.2000 19:00:00","Dürr, Tobias","Adult",NA,"weiblich",2000-07-14,2000,7,14,16.5,60,4.5
"836","VD55197","Beringung","Bartmeise","Rietzer See","25.05.2005 08:00:00","Dürr, Tobias","Adult","F:58;FETT:0","männlich",2005-05-25,2005,5,25,17.5,58,4.3
"837","VD55198","Beringung","Bartmeise","Rietzer See","25.05.2005 08:00:00","Dürr, Tobias","Adult","F:58;FETT:1;K0R1;SCHWARZ;PIGMENTIERTE;UNTERSCHWANZDECKEN","weiblich",2005-05-25,2005,5,25,13.5,58,4.3
"838","VC70761","Beringung","Bartmeise","Rietzer See","18.07.2000 12:00:00","Dürr, Tobias","Adult","F:60;FETT:3","männlich",2000-07-18,2000,7,18,16,60,4.5
"839","VC98408","Beringung","Bartmeise","Rietzer See","14.06.2001 11:00:00","Dürr, Tobias","Adult","F:60;FETT:2;LEGEBAUCH","weiblich",2001-06-14,2001,6,14,16,60,4.5
"840","VD28735","Beringung","Bartmeise","Rietzer See","27.09.2001 08:00:00","Dürr, Tobias","Adult","F:60;FETT:4","weiblich",2001-09-27,2001,9,27,16,60,4.5
"841","VD39711","Wiederfund","Bartmeise","Rietzer See","09.05.2003 10:00:00","Dürr, Tobias","Adult",NA,"weiblich",2003-05-09,2003,5,9,17.5,61,4.5
"842","VD54269","Beringung","Bartmeise","Rietzer See","16.05.2003 13:00:00","Dürr, Tobias","Adult","F:61;FETT:2;K1R2","weiblich",2003-05-16,2003,5,16,17,61,4.5
"843","VC70277","Beringung","Bartmeise","Rietzer See","10.05.2000 09:00:00","Dürr, Tobias","Adult","F:61;FETT:2","männlich",2000-05-10,2000,5,10,15,44,4.5
"844","VD55198","Wiederfund","Bartmeise","Rietzer See","25.09.2005 11:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-09-25,2005,9,25,13.5,58,4.3
"845","VD55200","Beringung","Bartmeise","Rietzer See","25.05.2005 08:00:00","Dürr, Tobias","Adult","F:61;FETT:0","männlich",2005-05-25,2005,5,25,15.6,61,4.5
"846","VD55327","Wiederfund","Bartmeise","Rietzer See","30.04.2005 10:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-04-30,2005,4,30,14.5,56,4.2
"847","VD54259","Beringung","Bartmeise","Rietzer See","09.05.2003 09:00:00","Dürr, Tobias","Adult","F:61;FETT:2","männlich",2003-05-09,2003,5,9,17.5,61,4.5
"848","VD75627","Beringung","Bartmeise","Rietzer See","02.10.2003 09:00:00","Dürr, Tobias","Adult","F:61;FETT:3;K0R1","weiblich",2003-10-02,2003,10,2,15,61,4.5
"849","VD55327","Wiederfund","Bartmeise","Rietzer See","25.05.2005 07:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-05-25,2005,5,25,14.5,56,4.2
"850","VD55328","Wiederfund","Bartmeise","Rietzer See","30.04.2005 10:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-04-30,2005,4,30,13,55,4
"851","VD29028","Beringung","Bartmeise","Rietzer See","26.10.2001 09:00:00","Dürr, Tobias","Adult","F:61;FETT:1","weiblich",2001-10-26,2001,10,26,16,61,4.5
"852","VC70234","Beringung","Bartmeise","Rietzer See","23.03.2000 09:00:00","Dürr, Tobias","Adult","F:61;FETT:2","weiblich",2000-03-23,2000,3,23,15,61,4.5
"853","VD55328","Wiederfund","Bartmeise","Rietzer See","25.05.2005 07:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-05-25,2005,5,25,13,55,4
"854","VD55346","Wiederfund","Bartmeise","Rietzer See","29.04.2005 20:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-04-29,2005,4,29,15,56,4.1
"855","VD75920","Beringung","Bartmeise","Rietzer See","17.10.2004 08:00:00","Dürr, Tobias","Adult","F:61;FETT:5;K0R1","weiblich",2004-10-17,2004,10,17,19,61,4.5
"856","VD75684","Beringung","Bartmeise","Rietzer See","24.04.2004 06:00:00","Dürr, Tobias","Adult","F:62;FETT:0","männlich",2004-04-24,2004,4,24,16.5,62,4.5
"857","VD75689","Beringung","Bartmeise","Rietzer See","24.04.2004 08:00:00","Dürr, Tobias","Adult","F:62;FETT:1;K0R2;LEGEBAUCH","weiblich",2004-04-24,2004,4,24,18,62,4.5
"858","VC70255","Beringung","Bartmeise","Rietzer See","28.04.2000 20:00:00","Dürr, Tobias","Adult","F:62;FETT:3","männlich",2000-04-28,2000,4,28,16,62,4.5
"859","VD55346","Wiederfund","Bartmeise","Rietzer See","16.07.2005 07:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-07-16,2005,7,16,15,56,4.1
"860","VD29048","Beringung","Bartmeise","Rietzer See","16.11.2001 11:00:00","Dürr, Tobias","Adult","F:62;FETT:3","weiblich",2001-11-16,2001,11,16,16.5,62,4.5
"861","VD54265","Beringung","Bartmeise","Rietzer See","09.05.2003 10:00:00","Dürr, Tobias","Adult","F:62;FETT:2","männlich",2003-05-09,2003,5,9,15.5,62,4.5
"862","VD2672","Wiederfund","Bartmeise","Rietzer See","09.05.2003 10:00:00","Dürr, Tobias","Adult",NA,"männlich",2003-05-09,2003,5,9,18.5,62,4.5
"863","VD55381","Wiederfund","Bartmeise","Rietzer See","17.07.2005 05:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-07-17,2005,7,17,15,58,4.6
"864","VD75682","Beringung","Bartmeise","Rietzer See","23.04.2004 20:00:00","Dürr, Tobias","Adult","F:62;FETT:2","männlich",2004-04-23,2004,4,23,15,62,4.5
"865","VD75680","Beringung","Bartmeise","Rietzer See","23.04.2004 20:00:00","Dürr, Tobias","Adult","F:62;FETT:2","männlich",2004-04-23,2004,4,23,18,62,4.5
